Refs,Value,Footprint,QTY,MFR,MPN,SPR,SPN
Y1,12.288MHz,raffilibkicad:ABM7,1,ABRACON,ABM7-12.288MHZ-D2Y-T,Mouser,815-ABM7-12.2-D2Y-T
SW1;SW2;SW3,SW_PUSH_SMALL_H,raffilibkicad:APEM_tactile_SMD_switch_6mm,3,APEM,ADTSM66NV,Mouser,642-ADTSM66NV
C15;C16;C20,22u,raffilibkicad:CP_Elec_7.3x4.3,3,Panasonic,EEF-CX1D220R,Mouser,667-EEF-CX1D220R
C22;C23;C14;C24;C3;C2;C12;C8;C11;C25;C26;C21;C13;C42;C43;C44;C38;C36;C39;C37;C40,100n,raffilibkicad:C_0603,21,Wurth Electronics,885012206095,Mouser,710-885012206095
C7,10u,raffilibkicad:C_0603,1,TDK,C1608X5R0J106M080AB,Mouser,810-C1608X5R0J106M
C1;C4;C34;C35,18p,raffilibkicad:C_0603,4,Vishay / Vitramon,VJ0603A180JXACW1BC,Mouser,77-VJ0603A180JXACBC
C5;C9;C17;C19;C6;C10,1n,raffilibkicad:C_0603,6,Murata Electronics,GRM1885C1H102JA01D,Mouser,81-GRM39C102J50
C27;C18,1u,raffilibkicad:C_0603,2,Wurth Electronics,885012206095,Mouser,710-885012206095
C28;C29,220p,raffilibkicad:C_0603,2,Murata Electronics,GRM1885C1H221JA01J,Mouser,81-GRM1885C1H221JA
C30;C31;C32;C33,10u,raffilibkicad:C_Radial_D4_L7,4,Nichicon,UPW1E100MDD6,Mouser,647-UPW1E100MDD6
L1;L2,100n,raffilibkicad:Inductor_PSU_NLCV32T,2,TDK,NLCV32T-R10M-PFR,Mouser,810-NLCV32T-R10M-PFR
L3,6u8,raffilibkicad:Inductor_SRN4018TA_bourns,1,Bourns,SRN4018TA-6R8M,Mouser,652-SRN4018TA-6R8M
D2;D3;D4,LED,raffilibkicad:LED_D3.0mm,3,Lite-On,LTL-4231N,Mouser,859-LTL-4231N
J5,PI_ZERO,raffilibkicad:PI_ZERO,1,,,,
P1,CONN_02X05,raffilibkicad:Pin_Header_Angled_2x05_Pitch2.54mm_with_space_for_con,1,Amphenol FCI,649-68020-110HLF,Mouser,68020-110HLF
RV1;RV3;RV5;RV6;RV2;RV4,POT,raffilibkicad:Potentiometer_ALPHA_RV112,6,,,,
